id,old_ward_name,old_province,old_district,old_ward_norm,old_province_norm,new_ward_id,new_ward_code,new_ward_name,new_province,new_province_short,confidence,source,created_at
1,Phường 12,Thành phố Hồ Chí Minh,Quận Gò Vấp,phuong_12,thanh_pho_ho_chi_minh,2685,26882,Phường An Hội Tây,Thành phố Hồ Chí Minh,Hồ Chí Minh,,official,2026-03-31 18:03:05.257908+00
2,Phường 14,Thành phố Hồ Chí Minh,Quận Gò Vấp,phuong_14,thanh_pho_ho_chi_minh,2685,26882,Phường An Hội Tây,Thành phố Hồ Chí Minh,Hồ Chí Minh,,official,2026-03-31 18:03:05.257908+00
3,Phường 15,Thành phố Hồ Chí Minh,Quận Gò Vấp,phuong_15,thanh_pho_ho_chi_minh,2684,26878,Phường An Hội Đông,Thành phố Hồ Chí Minh,Hồ Chí Minh,,official,2026-03-31 18:03:24.755263+00
4,Phường 16,Thành phố Hồ Chí Minh,Quận Gò Vấp,phuong_16,thanh_pho_ho_chi_minh,2684,26878,Phường An Hội Đông,Thành phố Hồ Chí Minh,Hồ Chí Minh,,official,2026-03-31 18:03:24.755263+00
5,Phường An Lạc,Thành phố Hồ Chí Minh,Quận Bình Tân,phuong_an_lac,thanh_pho_ho_chi_minh,2738,27460,Phường An Lạc,Thành phố Hồ Chí Minh,Hồ Chí Minh,,official,2026-03-31 18:03:24.755263+00
6,Phường An Lạc A,Thành phố Hồ Chí Minh,Quận Bình Tân,phuong_an_lac_a,thanh_pho_ho_chi_minh,2738,27460,Phường An Lạc,Thành phố Hồ Chí Minh,Hồ Chí Minh,,official,2026-03-31 18:03:24.755263+00
7,Phường Bình Trị Đông B,Thành phố Hồ Chí Minh,Quận Bình Tân,phuong_binh_tri_dong_b,thanh_pho_ho_chi_minh,2738,27460,Phường An Lạc,Thành phố Hồ Chí Minh,Hồ Chí Minh,,official,2026-03-31 18:03:24.755263+00
8,Phường 5,Thành phố Hồ Chí Minh,Quận Gò Vấp,phuong_5,thanh_pho_ho_chi_minh,2683,26876,Phường An Nhơn,Thành phố Hồ Chí Minh,Hồ Chí Minh,,official,2026-03-31 18:03:24.755263+00
9,Phường 6,Thành phố Hồ Chí Minh,Quận Gò Vấp,phuong_6,thanh_pho_ho_chi_minh,2683,26876,Phường An Nhơn,Thành phố Hồ Chí Minh,Hồ Chí Minh,,official,2026-03-31 18:03:24.755263+00
10,Phường 10,Thành phố Hồ Chí Minh,Quận Tân Bình,phuong_10,thanh_pho_ho_chi_minh,2696,26983,Phường Bảy Hiền,Thành phố Hồ Chí Minh,Hồ Chí Minh,,official,2026-03-31 18:03:24.755263+00
11,Phường 11,Thành phố Hồ Chí Minh,Quận Tân Bình,phuong_11,thanh_pho_ho_chi_minh,2696,26983,Phường Bảy Hiền,Thành phố Hồ Chí Minh,Hồ Chí Minh,,official,2026-03-31 18:03:24.755263+00
12,Phường 12,Thành phố Hồ Chí Minh,Quận Tân Bình,phuong_12,thanh_pho_ho_chi_minh,2696,26983,Phường Bảy Hiền,Thành phố Hồ Chí Minh,Hồ Chí Minh,,official,2026-03-31 18:03:24.755263+00
13,Phường Bình Hưng Hòa,Thành phố Hồ Chí Minh,Quận Bình Tân,phuong_binh_hung_hoa,thanh_pho_ho_chi_minh,2734,27439,Phường Bình Hưng Hòa,Thành phố Hồ Chí Minh,Hồ Chí Minh,,official,2026-03-31 18:03:24.755263+00
14,Phường Bình Hưng Hoà A,Thành phố Hồ Chí Minh,Quận Bình Tân,phuong_binh_hung_hoa_a,thanh_pho_ho_chi_minh,2734,27439,Phường Bình Hưng Hòa,Thành phố Hồ Chí Minh,Hồ Chí Minh,,official,2026-03-31 18:03:24.755263+00
15,Phường Bình Trị Đông,Thành phố Hồ Chí Minh,Quận Bình Tân,phuong_binh_tri_dong,thanh_pho_ho_chi_minh,2736,27448,Phường Bình Trị Đông,Thành phố Hồ Chí Minh,Hồ Chí Minh,,official,2026-03-31 18:03:24.755263+00
16,Phường Bình Trị Đông A,Thành phố Hồ Chí Minh,Quận Bình Tân,phuong_binh_tri_dong_a,thanh_pho_ho_chi_minh,2736,27448,Phường Bình Trị Đông,Thành phố Hồ Chí Minh,Hồ Chí Minh,,official,2026-03-31 18:03:24.755263+00
17,Phường Bình Hưng Hoà B,Thành phố Hồ Chí Minh,Quận Bình Tân,phuong_binh_hung_hoa_b,thanh_pho_ho_chi_minh,2735,27442,Phường Bình Tân,Thành phố Hồ Chí Minh,Hồ Chí Minh,,official,2026-03-31 18:03:24.755263+00
18,Phường 10,Thành phố Hồ Chí Minh,Quận Gò Vấp,phuong_10,thanh_pho_ho_chi_minh,2686,26884,Phường Gò Vấp,Thành phố Hồ Chí Minh,Hồ Chí Minh,,official,2026-03-31 18:03:24.755263+00
19,Phường 17,Thành phố Hồ Chí Minh,Quận Gò Vấp,phuong_17,thanh_pho_ho_chi_minh,2686,26884,Phường Gò Vấp,Thành phố Hồ Chí Minh,Hồ Chí Minh,,official,2026-03-31 18:03:24.755263+00
20,Phường 1,Thành phố Hồ Chí Minh,Quận Gò Vấp,phuong_1,thanh_pho_ho_chi_minh,2687,26890,Phường Hạnh Thông,Thành phố Hồ Chí Minh,Hồ Chí Minh,,official,2026-03-31 18:03:24.755263+00
21,Phường 3,Thành phố Hồ Chí Minh,Quận Gò Vấp,phuong_3,thanh_pho_ho_chi_minh,2687,26890,Phường Hạnh Thông,Thành phố Hồ Chí Minh,Hồ Chí Minh,,official,2026-03-31 18:03:24.755263+00
22,Phường Ninh Giang,Tỉnh Khánh Hòa,Thị xã Ninh Hòa,phuong_ninh_giang,tinh_khanh_hoa,2117,22591,Phường Hòa Thắng,Khánh Hòa,Khánh Hòa,,official,2026-03-31 18:03:24.755263+00
23,Phường Ninh Hà,Tỉnh Khánh Hòa,Thị xã Ninh Hòa,phuong_ninh_ha,tinh_khanh_hoa,2117,22591,Phường Hòa Thắng,Khánh Hòa,Khánh Hòa,,official,2026-03-31 18:03:24.755263+00
24,Xã Ninh Phú,Tỉnh Khánh Hòa,Thị xã Ninh Hòa,xa_ninh_phu,tinh_khanh_hoa,2117,22591,Phường Hòa Thắng,Khánh Hòa,Khánh Hòa,,official,2026-03-31 18:03:24.755263+00
25,Phường 8,Thành phố Hồ Chí Minh,Quận 4,phuong_8,thanh_pho_ho_chi_minh,2722,27265,Phường Khánh Hội,Thành phố Hồ Chí Minh,Hồ Chí Minh,,official,2026-03-31 18:03:24.755263+00
26,Phường 9,Thành phố Hồ Chí Minh,Quận 4,phuong_9,thanh_pho_ho_chi_minh,2722,27265,Phường Khánh Hội,Thành phố Hồ Chí Minh,Hồ Chí Minh,,official,2026-03-31 18:03:24.755263+00
27,Phường 15,Thành phố Hồ Chí Minh,Quận 4,phuong_15,thanh_pho_ho_chi_minh,2722,27265,Phường Khánh Hội,Thành phố Hồ Chí Minh,Hồ Chí Minh,,official,2026-03-31 18:03:24.755263+00
28,Phường 1,Tỉnh Vĩnh Long,Thành phố Vĩnh Long,phuong_1,tinh_vinh_long,2973,29551,Phường Long Châu,Vĩnh Long,Vĩnh Long,,official,2026-03-31 18:03:24.755263+00
